鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務,source_file
"北投區","租賃房屋","臺北市北投區中央北路三段４０巷４２號４樓","0.0","","","","1140311","土地0建物1車位0","四層","7","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","1010612","99.38","2","2","2","有","有","有","28000","282","","0.0","0","此為國家住宅及都市更新中心社會住宅包租代管計畫之物件。","RPOOMLOKLHKGFEA67CC","整棟(戶)出租","有","1140325~1150611","有","冷氣、熱水器、電視機、瓦斯或天然氣","社會住宅包租轉租","a_lvr_land_c.csv"
"士林區","租賃房屋","臺北市士林區延平北路八段８０巷５３弄１６號二樓","0.0","","","","1140311","土地0建物1車位0","二層","3","公寓(5樓含以下無電梯)","住家用","加強磚造","0590123","78.97","3","1","1","有","無","無","15000","190","","0.0","0","此為國家住宅及都市更新中心社會住宅包租代管計畫之物件。","RPROMLOKLHKGFEA97CC","整棟(戶)出租","無","1140320~1150319","無","冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣","社會住宅包租轉租","a_lvr_land_c.csv"
"士林區","租賃房屋","臺北市士林區通河街３２５巷１４之３號","0.0","","","","1140311","土地0建物1車位0","三層","5","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0591210","29.48","2","1","1","有","無","有","13000","441","","0.0","0","此為國家住宅及都市更新中心社會住宅包租代管計畫之物件。","RPUOMLOKLHKGFEA28CC","整棟(戶)出租","無","1140320~1150319","無","冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣","社會住宅包租轉租","a_lvr_land_c.csv"
"士林區","租賃房屋","臺北市士林區環河北路三段２１９號２樓","0.0","","","","1140312","土地0建物1車位0","二層","5","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0710708","95.91","3","2","1","有","無","有","22000","229","","0.0","0","此為國家住宅及都市更新中心社會住宅包租代管計畫之物件。","RPWOMLOKLHKGFEA48CC","整棟(戶)出租","無","1140330~1150329","無","冷氣、熱水器、瓦斯或天然氣","社會住宅包租轉租","a_lvr_land_c.csv"
"大安區","租賃房屋","臺北市大安區忠孝東路四段１８１巷５０號４樓之１","0.0","","","","1140314","土地0建物1車位0","四層","7","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0760404","153.77","3","2","2","有","有","有","45000","293","","0.0","0","其他含稅、含管理費；","RPVNMLOKLHKGFFA38CC","整棟(戶)出租","有","1140320~1150319","有","冷氣、熱水器、冰箱、瓦斯或天然氣","","a_lvr_land_c.csv"
"大安區","租賃房屋","臺北市大安區通化街３９巷５０弄１２３號","0.0","","","","1140314","土地0建物1車位0","一層","5","公寓(5樓含以下無電梯)","商業用","鋼筋混凝土造","0670419","87.38","0","1","1","有","無","無","48000","549","","0.0","0","租金總額含稅；含增建或未登記建物；","RPOOMLOKLHKGFFA77CC","","無","1140301~1190228","無","","","a_lvr_land_c.csv"
"萬華區","租賃房屋","臺北市萬華區和平西路二段１４９號７樓之３","0.0","","","","1140311","土地0建物1車位0","七層","12","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0680623","35.61","2","1","1","有","有","有","28445","799","","0.0","0","租金總額含管理費；網路費；其他1管理費網路費有線電視第四台月租費由出租方負擔2租賃本住宅所生之租令賃稅10%二代健保補充保費2.11%由承租方申報繳款；","RPPNMLQKLHKGFBA57CC","整棟(戶)出租","有","1140315~1150314","有","冷氣、洗衣機、電視機、冰箱、有線電視、網路","","a_lvr_land_c.csv"
"文山區","租賃房屋","臺北市文山區木新路三段３４５號","0.0","","","","1140316","土地0建物0車位0","全","3","透天厝","","加強磚造","","23.11","8","2","5","有","無","有","18000","779","","0.0","0","本案為分租套房，本為203室，租金包含水、網路第四台、垃圾處理費等其他費用。租金總額含水費；網路費；其他垃圾處理費；","RPWNMLRKLHKGFAA28CC","分租套房","無","1140316~1150315","無","冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路","一般轉租","a_lvr_land_c.csv"
"中正區","租賃房屋","臺北市中正區羅斯福路四段１６０號","0.0","","","","1140317","土地0建物1車位0","一層","12","店面(店鋪)","商業用","鋼筋混凝土造","0721227","106.17999999999999","0","0","0","無","有","無","85334","804","","0.0","0","租金總額含稅；","RPPOMLRKLHKGFAA67CC","","有","1140317~1190416","有","","","a_lvr_land_c.csv"
"萬華區","租賃房屋","臺北市萬華區西園路一段３３之４號四樓","0.0","","","","1140312","土地0建物1車位0","四層","4","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0601130","38.67","2","1","1","有","無","有","18000","465","","0.0","0","此為臺北市社會住宅包租代管計畫之物件，評定市價租金為20000元，因選擇代管方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額為18000元。此為臺北市社會住宅包租代管計畫之物件，評定市價租金為20000元，因選擇代管方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額為18000元。","RPPNMLRKLHKGFBA67CC","整棟(戶)出租","無","1140316~1150315","無","冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣","社會住宅代管","a_lvr_land_c.csv"
