鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,source_file
"北投區","房地(土地+建物)+車位","臺北市北投區文林北路與文承路交叉口","32.25","住","","","1140319","土地1建物1車位1","十四層","18","住宅大樓(11層含以上有電梯)","住家用","鋼骨鋼筋混凝土造","","211.78","3","2","2","有","無","68400000","386882","坡道平面","43.77","3400000","","RPRNMLTKLHKGFEA38DB","麟 璞真","C-14F號","","a_lvr_land_b.csv"
"大安區","房地(土地+建物)","臺北市大安區四維路228巷","21.03","住","","","1140317","土地15建物1車位0","五層","13","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","","143.69","2","2","2","有","無","67560000","470179","","0.0","0","權狀含雨遮面積約4.17平方公尺，不計入買賣總價內。","RPQNMLKLLHKGFFA47CB","敦南詠?","J號","","a_lvr_land_b.csv"
"大安區","房地(土地+建物)+車位","臺北市大安區四維路228巷","20.02","住","","","1140313","土地15建物1車位1","六層","13","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","","174.48","2","2","2","有","無","69980000","485429","坡道平面","39.28","4350000","權狀含雨遮面積約3.17平方公尺，不計入買賣總價內。","RPSNMLKLLHKGFFA67CB","敦南詠?","G號","","a_lvr_land_b.csv"
"中山區","房地(土地+建物)+車位","臺北市中山區中吉里四平街37號","17.9","住","","","1140313","土地3建物1車位1","八層","12","住宅大樓(11層含以上有電梯)","住家用","見其他登記事項","","119.46","3","1","2","有","無","47500000","444974","其他","18.78","2700000","","RPPNMLLLLHKGFCA17CB","松江.桓?","A1-8F號","","a_lvr_land_b.csv"
"北投區","房地(土地+建物)+車位","臺北市北投區福真路","33.32","住","","","1140318","土地1建物1車位2","九層","24","住宅大樓(11層含以上有電梯)","住家用","鋼骨鋼筋混凝土造","","238.92","4","2","2","有","無","83800000","413858","坡道平面","52.02","6450000","","RPQNMLLLLHKGFEA47CB","遠雄泱玥","A02棟F09號","","a_lvr_land_b.csv"
"內湖區","房地(土地+建物)+車位","臺北市內湖區石潭里民權東路六段180巷","31.87","住","","","1140311","土地6建物1車位1","二層","6","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","","126.02","2","2","1","有","無","27870000","278155","坡道平面","36.07","2850000","","RPQNMLNLLHKGFCA47CB","和暘夏灣","B棟B3-2F號","","a_lvr_land_b.csv"
"內湖區","房地(土地+建物)","臺北市內湖區石潭里民權東路六段180巷","25.36","住","","","1140311","土地6建物1車位0","三層","6","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","","71.49","2","2","1","有","無","21420000","299622","","0.0","0","","RPRNMLNLLHKGFCA57CB","和暘夏灣","C棟C2-3F號","","a_lvr_land_b.csv"
"內湖區","房地(土地+建物)+車位","臺北市內湖區石潭里民權東路六段180巷","30.78","住","","","1140312","土地6建物1車位1","三層","6","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","","122.62","2","2","1","有","無","26890000","278914","坡道平面","36.07","2750000","","RPSNMLNLLHKGFCA67CB","和暘夏灣","B棟B1-3F號","","a_lvr_land_b.csv"
"文山區","房地(土地+建物)+車位","臺北市文山區木柵路一段","17.76","住","","","1140317","土地2建物1車位1","三十層","34","住宅大樓(11層含以上有電梯)","住家用","見其他登記事項","","134.18","3","2","2","有","無","42000000","355151","坡道平面","24.79","3150000","","RPPNMLOLLHKGFAA27CB","元利四季莊園","B棟30F-B02號","","a_lvr_land_b.csv"
"文山區","房地(土地+建物)+車位","臺北市文山區木柵路一段","29.9","住","","","1140318","土地2建物1車位1","十三層","34","住宅大樓(11層含以上有電梯)","住家用","見其他登記事項","","209.22","3","2","3","有","無","61440000","316868","坡道平面","24.79","3000000","","RPRNMLOLLHKGFAA47CB","元利四季莊園","D棟13F-D03號","","a_lvr_land_b.csv"
