編號,鄉鎮市區,土地位置建物門牌,租賃年月日,總額元,出租型態,租賃天數,主要用途,主要用途分類,租賃層次,租賃層次分類,總樓層數,建物型態,交易筆棟數-土地,交易筆棟數-建物,租賃住宅服務,有無管理組織,有無管理員,有無附傢俱,有無電梯,主要建材,主要建材分類,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,建物總面積平方公尺,單價元平方公尺,建築完成年月,屋齡,屋齡分類,附屬設備-冷氣,附屬設備-熱水器,附屬設備-洗衣機,附屬設備-電視機,附屬設備-冰箱,附屬設備-瓦斯或天然氣,附屬設備-有線電視,附屬設備-網路
RPPNMLQJRHIGFEA18CC,士林區,臺北市士林區後街２１巷３４號,2023-08-30,15000,整棟(戶)出租,365,住家用,住宅類,一層,低樓層,4,公寓(5樓含以下無電梯),0,1,社會住宅代管,0,0,1,0,鋼筋混凝土造,鋼筋混凝土造類,4,2,1,1,122.43,123,1979-04-18,44,40年以上,1,1,1,1,1,1,0,0
RPQNMLQJRHIGFEA28CC,士林區,臺北市士林區中山北路五段７４８巷１９號二樓,2023-08-30,32000,整棟(戶)出租,365,住家用,住宅類,二層,低樓層,3,公寓(5樓含以下無電梯),0,1,社會住宅代管,0,0,1,0,鋼筋混凝土造,鋼筋混凝土造類,3,2,1,1,104.1,307,1975-06-23,48,40年以上,0,1,1,0,0,1,0,0
RPRNMLQJRHIGFEA38CC,士林區,臺北市士林區葫蘆街２３巷１４號,2023-08-31,15000,整棟(戶)出租,365,住家用,住宅類,一層,低樓層,4,公寓(5樓含以下無電梯),0,1,社會住宅代管,0,0,0,0,鋼筋混凝土造,鋼筋混凝土造類,3,1,1,1,71.81,209,1975-06-12,48,40年以上,0,1,0,0,0,0,0,0
RPOOMLQJRHIGFEA18CC,士林區,臺北市士林區台北市士林區格致路２０巷２９號６樓之５,2023-08-08,18500,獨立套房,365,住家用,住宅類,六層,低樓層,10,華廈(10層含以下有電梯),0,1,社會住宅代管,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,0,0,0,0,86.31,214,1996-10-29,26,20-30年,1,1,0,0,1,0,0,0
RPTNMLQJRHIGFFA68CC,大安區,臺北市大安區大安路一段１６９巷８號１樓,2023-08-29,160000,NA,1826,住家用,住宅類,一層,低樓層,7,店面(店鋪),0,1,NA,0,0,0,1,鋼筋混凝土造,鋼筋混凝土造類,0,0,0,0,160.84,995,1977-01-18,46,40年以上,0,0,0,0,0,0,0,0
RPQNMLRJRHIGFBA08CC,萬華區,臺北市萬華區青年路６８巷４號四樓,2023-08-22,18000,整棟(戶)出租,365,住家用,住宅類,四層,低樓層,5,公寓(5樓含以下無電梯),0,1,社會住宅代管,0,0,1,0,鋼筋混凝土造,鋼筋混凝土造類,1,1,1,1,31.18,577,1975-04-03,48,40年以上,1,1,0,0,0,1,0,0
RPSNMLRJRHIGFBA28CC,大同區,臺北市大同區市民大道一段２０５號十三樓之２,2023-08-11,50500,分層出租,365,住家用,住宅類,十三層,中樓層,18,住宅大樓(11層含以上有電梯),0,1,NA,1,1,0,1,鋼骨造,鋼骨類,2,2,1,1,92.43,546,2009-07-24,14,10-20年,1,0,1,1,1,0,0,0
RPTNMLRJRHIGFBA38CC,萬華區,臺北市萬華區西藏路１２５巷１３號四樓之１,2023-08-11,35100,整棟(戶)出租,365,住家用,住宅類,四層,低樓層,12,住宅大樓(11層含以上有電梯),0,1,社會住宅代管,1,1,0,1,鋼筋混凝土造,鋼筋混凝土造類,3,1,2,1,72.96,481,1980-02-05,43,40年以上,1,1,1,0,1,1,0,0
RPQOMLRJRHIGFBA18CC,中正區,臺北市中正區仁愛路二段３８巷７弄６號３樓之２,2023-08-28,15000,分層出租,365,住家用,住宅類,三層,低樓層,6,華廈(10層含以下有電梯),0,1,NA,1,0,0,1,鋼筋混凝土造,鋼筋混凝土造類,1,0,1,1,33.660000000000004,446,1993-09-14,29,20-30年,0,0,0,0,0,0,0,0
RPROMLRJRHIGFBA28CC,大同區,臺北市大同區民族西路７６巷１２弄１９號３樓,2023-09-04,40000,整棟(戶)出租,730,住家用,住宅類,三層,低樓層,7,華廈(10層含以下有電梯),0,1,NA,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,4,2,2,1,119.72,334,1994-09-26,28,20-30年,1,1,1,1,1,1,0,0
RPSOMLRJRHIGFBA38CC,萬華區,臺北市萬華區和平西路三段３９４號三樓,2023-08-22,30000,整棟(戶)出租,365,住家用,住宅類,三層,低樓層,7,華廈(10層含以下有電梯),2,1,社會住宅代管,0,0,1,1,鋼筋混凝土造,鋼筋混凝土造類,4,1,3,1,117.92,254,1977-01-27,46,40年以上,1,1,1,1,1,0,0,0
RPWOMLRJRHIGFBA78CC,大同區,臺北市大同區重慶北路三段２９６巷１８號,2023-09-01,42098,NA,730,住商用,住商混合,一層,低樓層,5,公寓(5樓含以下無電梯),0,1,NA,0,0,0,0,鋼筋混凝土造,鋼筋混凝土造類,4,2,2,1,100.61,418,1982-03-10,41,40年以上,1,1,0,0,0,0,0,0
RPSPMLRJRHIGFBA48CC,萬華區,臺北市萬華區環河南路一段２３號九樓之１４,2023-09-04,11000,整棟(戶)出租,365,住家用,住宅類,九層,低樓層,12,住宅大樓(11層含以上有電梯),0,1,社會住宅包租轉租,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,1,0,1,1,27.119999999999997,406,1983-06-24,40,30-40年,1,1,1,1,1,0,0,0
