"鄉鎮市區","總額元","租賃年月日","出租型態","總樓層數","建物型態","租賃住宅服務","租賃天數","有無電梯","建物現況格局-房","建物現況格局-廳","建物現況格局-衛","建物總面積平方公尺","屋齡","附屬設備-冷氣","附屬設備-熱水器","附屬設備-洗衣機","附屬設備-電視機","附屬設備-瓦斯或天然氣","附屬設備-有線電視","附屬設備-網路","捷運站距離(公尺)","附近建物單位成交均價","捷運線","Predicted","AbsError","MAPE"
"文山區",21000,19628,"整棟(戶)出租",4,"公寓(5樓含以下無電梯)","社會住宅代管",365,0,3,2,1,76.72,48,1,1,0,0,1,0,0,88.4832317688782,372.388888888889,"松山新店線",25807.4060970613,4807.40609706128,0.228924099860061
"中山區",80000,19619,"未知",12,"住宅大樓(11層含以上有電梯)","未知",1095,1,3,1,3,185.17,37,0,0,0,0,0,0,0,364.461134449951,492.333333333333,"文湖線",68748.4693855949,11251.5306144051,0.140644132680064
"松山區",45000,19614,"整棟(戶)出租",6,"華廈(10層含以下有電梯)","未知",730,1,3,2,2,131.09,37,1,1,1,1,1,0,0,462.671767847955,520.466666666667,"板南線",53675.7490640062,8675.74906400623,0.192794423644583
"松山區",65000,19612,"未知",15,"辦公商業大樓","未知",730,1,0,0,0,113.15,38,0,0,0,0,0,0,0,347.549346560625,460.16,"文湖線",58080.6983700757,6919.30162992428,0.106450794306527
"信義區",52000,19629,"整棟(戶)出租",15,"住宅大樓(11層含以上有電梯)","未知",365,1,1,2,1,94.22,8,0,0,0,0,0,0,0,445.859239741778,398.928571428571,"文湖線",49243.8859709271,2756.11402907288,0.0530021928667862
"信義區",15000,19633,"獨立套房",7,"華廈(10層含以下有電梯)","社會住宅代管",365,1,1,1,1,31.72,31,1,1,1,1,1,0,0,561.956399945015,360.875,"淡水信義線",15904.9118989281,904.9118989281,0.06032745992854
"北投區",9500,19630,"整棟(戶)出租",7,"華廈(10層含以下有電梯)","社會住宅代管",365,1,1,1,1,29.28,42,1,1,1,1,0,0,0,195.278894401951,316.448275862069,"新北投支線",11986.0277795281,2486.02777952808,0.261687134687166
"北投區",18900,19627,"獨立套房",11,"住宅大樓(11層含以上有電梯)","社會住宅代管",365,1,1,1,1,44.96,28,1,1,1,0,0,0,0,1590.68717161022,357.454545454545,"淡水信義線",16778.0673001963,2121.93269980368,0.112271571418184
"松山區",15000,19634,"獨立套房",6,"華廈(10層含以下有電梯)","社會住宅包租轉租",365,1,1,1,1,34.22,32,1,1,1,1,0,0,0,590.601614189111,476.277777777778,"板南線",16890.7202010696,1890.72020106955,0.126048013404637
"北投區",11000,19627,"獨立套房",8,"華廈(10層含以下有電梯)","社會住宅包租轉租",365,1,1,0,1,32.49,43,1,1,1,0,0,0,0,167.925596135388,264.8,"新北投支線",10734.7605469423,265.239453057722,0.024112677550702
"中正區",26000,19620,"整棟(戶)出租",4,"公寓(5樓含以下無電梯)","社會住宅代管",365,0,3,2,2,108.88,34,1,1,0,0,1,0,0,987.465852797237,254,"松山新店線",26285.8448656035,285.844865603489,0.0109940332924419
"萬華區",50000,19636,"整棟(戶)出租",24,"住宅大樓(11層含以上有電梯)","未知",365,1,2,1,1,82.02,3,1,1,1,1,1,0,0,455.8326376047,393,"板南線",40398.2007325795,9601.79926742049,0.19203598534841
"內湖區",31000,19612,"整棟(戶)出租",5,"公寓(5樓含以下無電梯)","社會住宅代管",365,0,3,2,1,119.31,35,1,1,0,0,1,0,0,316.879535786687,315.5,"文湖線",27349.661621538,3650.33837846202,0.11775285091813
"士林區",13000,19633,"整棟(戶)出租",4,"華廈(10層含以下有電梯)","社會住宅包租轉租",710,1,1,1,1,26.48,6,1,1,0,0,0,0,0,4117.66366346931,255,"淡水信義線",12737.616612504,262.383387495998,0.0201833374996922
"文山區",24000,19634,"整棟(戶)出租",10,"華廈(10層含以下有電梯)","社會住宅代管",310,1,2,2,1,73.15,27,1,1,1,1,1,0,0,457.172995586346,281.181818181818,"松山新店線",24716.8063255741,716.806325574107,0.0298669302322545
"大同區",17000,19615,"獨立套房",14,"住宅大樓(11層含以上有電梯)","社會住宅包租轉租",365,1,1,0,1,30.72,44,1,1,1,1,1,1,0,550.232375302238,414.733333333333,"松山新店線",13529.8122178996,3470.18778210038,0.204128693064728
"萬華區",22500,19626,"整棟(戶)出租",4,"公寓(5樓含以下無電梯)","社會住宅包租轉租",365,0,2,1,1,61.72,49,1,1,1,0,1,0,0,1697.54582425017,210.633333333333,"中和新蘆線",16600.536713663,5899.46328633702,0.262198368281645
"萬華區",15000,19622,"整棟(戶)出租",26,"住宅大樓(11層含以上有電梯)","社會住宅代管",365,1,1,1,1,50.21,7,0,1,0,0,0,0,0,514.258641623504,564.8,"板南線",21381.9431317994,6381.94313179942,0.425462875453295
"大同區",27000,19619,"整棟(戶)出租",5,"公寓(5樓含以下無電梯)","社會住宅包租轉租",1095,0,2,1,2,77.75,43,1,1,1,1,0,0,0,633.641895515385,397.814814814815,"中和新蘆線",19967.9318195106,7032.06818048943,0.260446969647757
"內湖區",30000,19624,"整棟(戶)出租",4,"公寓(5樓含以下無電梯)","社會住宅代管",365,0,2,2,1,99.05,40,1,1,1,1,1,0,0,531.905741260334,397.227272727273,"松山新店線",27221.2797182826,2778.72028171741,0.0926240093905803
"中山區",16000,19619,"獨立套房",9,"華廈(10層含以下有電梯)","社會住宅包租轉租",668,1,1,1,1,34.7,51,1,1,1,0,0,0,0,561.023664768039,448.392857142857,"文湖線",14373.6089131154,1626.39108688461,0.101649442930288
"信義區",30300,19622,"整棟(戶)出租",4,"公寓(5樓含以下無電梯)","社會住宅代管",365,0,2,2,1,85.25,45,1,1,1,1,1,0,0,935.798072407697,301.545454545455,"板南線",21370.9903258917,8929.00967410827,0.294686787924365
"北投區",20000,19623,"整棟(戶)出租",5,"公寓(5樓含以下無電梯)","未知",365,0,3,2,2,98.19,40,0,0,0,0,0,0,0,565.621583878665,310.944444444444,"淡水信義線",27239.9781999403,7239.97819994026,0.361998909997013
"大同區",90000,19616,"整棟(戶)出租",15,"住宅大樓(11層含以上有電梯)","未知",730,1,4,2,2,301.7,13,1,1,1,1,1,0,0,146.978902510214,466.166666666667,"淡水信義線",131502.99764666,41502.9976466596,0.461144418296218
"大同區",41000,19619,"分層出租",7,"華廈(10層含以下有電梯)","未知",365,1,2,1,1,99.73,15,1,1,1,1,1,0,0,83.2379601775518,537.166666666667,"淡水信義線",46782.8719269172,5782.87192691724,0.141045656754079
